nback_loop.thisRepN,nback_loop.thisTrialN,nback_loop.thisN,nback_loop.thisIndex,key_resp_nback.keys,key_resp_nback.rt,nback_level,target_cat,animal_img,scene_img,trial_resp_corr,trial_num,target_repeat,lure_repeat,block_num,total_resp_corr,total_target_corr,participant,age,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
,,,,,,,,,,,,,,,,,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,0,0,0,f,0.7826640999992378,1,animal,95,101,1,0,0,0,1,1,0,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,1,1,1,f,0.31772820000333013,1,animal,57,151,1,1,0,0,1,2,0,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,2,2,2,j,0.43332500000542495,1,animal,57,7,1,2,1,0,1,3,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,3,3,3,f,0.36843059999955585,1,animal,167,89,1,3,0,0,1,4,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,4,4,4,f,0.6497417999999016,1,animal,65,143,1,4,0,0,1,5,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,5,5,5,f,0.4341266999981599,1,animal,19,44,1,5,0,0,1,6,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,6,6,6,f,0.4865546999935759,1,animal,14,37,1,6,0,0,1,7,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,7,7,7,f,0.5510374000004958,1,animal,63,135,1,7,0,0,1,8,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,8,8,8,f,0.500598099999479,1,animal,58,130,1,8,0,0,1,9,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,9,9,9,f,0.4337166999976034,1,animal,7,108,1,9,0,0,1,10,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,10,10,10,f,0.5172547999973176,1,animal,47,108,1,10,0,1,1,11,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,11,11,11,f,0.38413779999973485,1,animal,92,86,1,11,0,0,1,12,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,12,12,12,f,0.4176078000018606,1,animal,96,45,1,12,0,0,1,13,1,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,13,13,13,j,0.4834074000027613,1,animal,96,150,1,13,1,0,1,14,2,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,14,14,14,f,0.2677884999939124,1,animal,98,150,1,14,0,1,1,15,2,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,15,15,15,j,0.484152199998789,1,animal,98,94,1,15,1,0,1,16,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,16,16,16,f,0.43419160000485135,1,animal,132,106,1,16,0,0,1,17,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,17,17,17,f,0.5174015000011423,1,animal,86,155,1,17,0,0,1,18,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,18,18,18,f,0.3838351000013063,1,animal,15,96,1,18,0,0,1,19,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,19,19,19,f,0.434097199999087,1,animal,91,19,1,19,0,0,1,20,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,20,20,20,f,0.7338716000012937,1,animal,38,73,1,20,0,0,1,21,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
0,21,21,21,f,0.5672980999952415,1,animal,20,122,1,21,0,0,1,22,3,0,100,2020_Jan_18_1244,calibration_phase,3.0.0b12,60.05883363219329,
