nback_loop.thisRepN,nback_loop.thisTrialN,nback_loop.thisN,nback_loop.thisIndex,key_resp_nback.keys,nback_level,target_cat,face_img,object_img,response_corr,trial_num,block_trial_num,block_num,target_repeat,lure_repeat,block_order,first_screen_time_elapsed,total_time_elapsed,key_resp_nback.rt,participant,date,expName,psychopyVersion,frameRate,age,
,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,0,0,0,None,1,face,325,120,1,1,1,1,0,0,FOFO,15.932719829041162,35.43510106267058,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,1,1,1,None,1,face,160,297,1,2,2,1,0,0,FOFO,18.18266540931654,37.685047433071304,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,2,2,2,None,1,face,382,78,1,3,3,1,0,0,FOFO,20.43238540942548,39.934767038110294,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,3,3,3,None,1,face,204,239,1,4,4,1,0,0,FOFO,22.682340866231243,42.18472012455459,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,4,4,4,None,1,face,72,428,1,5,5,1,0,0,FOFO,24.932270644028904,44.43465306285361,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,5,5,5,None,1,face,154,428,1,6,6,1,0,1,FOFO,27.1821411626006,46.68452279129997,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,6,6,6,None,1,face,346,293,1,7,7,1,0,0,FOFO,29.432025113273994,48.93440674195881,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,7,7,7,space,1,face,346,278,1,8,8,1,1,0,FOFO,31.68199005155475,51.184371680239565,0.7496953087684233,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,8,8,8,None,1,face,354,345,1,9,9,1,0,0,FOFO,33.93192694046593,53.434308569165296,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,9,9,9,None,1,face,30,106,1,10,10,1,0,0,FOFO,36.181354595013545,55.6837370138237,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,10,10,10,None,1,face,18,509,1,11,11,1,0,0,FOFO,38.43152654556616,57.9339061989449,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
0,11,11,11,None,1,face,371,509,1,12,12,1,0,1,FOFO,40.68145158262632,60.183831236019614,,33,2019_Aug_26_1613,builder_test,3.0.0b12,59.97841370054904,21,
