inst_image_path,prac_inst_trials.thisRepN,prac_inst_trials.thisTrialN,prac_inst_trials.thisN,prac_inst_trials.thisIndex,prac_inst_trials_2.thisRepN,prac_inst_trials_2.thisTrialN,prac_inst_trials_2.thisN,prac_inst_trials_2.thisIndex,nback_loop.thisRepN,nback_loop.thisTrialN,nback_loop.thisN,nback_loop.thisIndex,key_resp_nback.keys,nback_level,target_cat,face_img,object_img,response_corr,trial_num,target_repeat,lure_repeat,key_resp_nback.rt,participant,date,expName,psychopyVersion,frameRate,age,
1.jpg,0,0,0,0,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
2.jpg,0,1,1,1,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
3.jpg,0,2,2,2,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
4.jpg,0,3,3,3,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
5.jpg,0,4,4,4,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
10.jpg,,,,,0,0,0,0,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
11.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
12.jpg,,,,,0,2,2,2,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
13.jpg,,,,,0,3,3,3,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
14.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,0,0,0,None,1,face,5,34,1,0,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,1,1,1,None,1,face,30,30,1,1,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,2,2,2,None,1,face,18,30,1,2,0,1,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,3,3,3,None,1,face,21,17,1,3,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,4,4,4,None,1,face,6,13,1,4,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,5,5,5,None,1,face,36,23,1,5,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,6,6,6,None,1,face,15,1,1,6,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,7,7,7,None,1,face,31,14,1,7,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,8,8,8,space,1,face,31,14,1,8,1,1,0.47210173941857647,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,9,9,9,None,1,face,12,31,1,9,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,10,10,10,None,1,face,26,19,1,10,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,11,11,11,None,1,face,33,20,1,11,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,12,12,12,None,1,face,22,3,1,12,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,13,13,13,space,1,face,22,11,1,13,1,0,0.62059116223827,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,14,14,14,None,1,face,25,25,1,14,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,15,15,15,None,1,face,38,7,1,15,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,16,16,16,None,1,face,32,7,1,16,0,1,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,17,17,17,None,1,face,9,5,1,17,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,18,18,18,space,1,face,9,37,1,18,1,0,0.5509663008560892,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,19,19,19,None,1,face,27,32,1,19,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
3.jpg,0,0,0,0,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
4.jpg,0,1,1,1,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
5.jpg,0,2,2,2,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
10.jpg,,,,,0,0,0,0,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
11.jpg,,,,,0,1,1,1,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
12.jpg,,,,,0,2,2,2,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
13.jpg,,,,,0,3,3,3,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
14.jpg,,,,,0,4,4,4,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,0,0,0,None,1,object,39,26,1,0,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,1,1,1,None,1,object,34,2,1,1,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,2,2,2,None,1,object,1,9,1,2,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,3,3,3,None,1,object,17,24,1,3,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,4,4,4,None,1,object,2,18,1,4,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,5,5,5,None,1,object,37,10,1,5,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,6,6,6,None,1,object,37,29,1,6,0,1,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,7,7,7,None,1,object,20,36,1,7,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,8,8,8,None,1,object,10,16,1,8,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,9,9,9,None,1,object,19,38,1,9,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,10,10,10,None,1,object,3,27,1,10,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,11,11,11,None,1,object,24,8,1,11,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,12,12,12,None,1,object,7,33,1,12,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,13,13,13,None,1,object,7,6,1,13,0,1,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,14,14,14,space,1,object,29,6,1,14,1,0,0.4836877101479331,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,15,15,15,None,1,object,14,12,1,15,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,16,16,16,None,1,object,23,21,1,16,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,17,17,17,None,1,object,13,28,1,17,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,18,18,18,None,1,object,16,35,1,18,0,0,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
,,,,,,,,,0,19,19,19,space,1,object,16,35,1,19,1,1,0.4766974906815449,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
22.jpg,0,0,0,0,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
23.jpg,0,1,1,1,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
24.jpg,0,2,2,2,,,,,,,,,,,,,,,,,,,33,2019_Aug_26_1609,main_instructions,3.0.0b12,59.97528722862028,21,
